Title,Author,Category,Views,Likes,Dislikes,Comments,PublishTime
The Art of War,Sun Tzu,Non-fiction,230000,10000,250,350,"2023-03-10 14:30:00+00:00"
The Great Gatsby,F. Scott Fitzgerald,Fiction,185000,9000,500,700,"2022-11-15 09:15:00+00:00"
To Kill a Mockingbird,Harper Lee,Fiction,250000,12000,750,1100,"2022-09-01 18:20:00+00:00"
The Catcher in the Rye,J.D. Salinger,Fiction,175000,8000,400,500,"2022-06-08 12:45:00+00:00"
A Brief History of Time,Stephen Hawking,Non-fiction,300000,15000,1000,2000,"2021-12-25 08:30:00+00:00"
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Science Fiction,200000,10000,500,600,"2021-10-10 14:00:00+00:00"
The Lord of the Rings,J.R.R. Tolkien,Fantasy,280000,13000,800,1200,"2021-08-05 10:30:00+00:00"
The Da Vinci Code,Dan Brown,Thriller,195000,9500,400,750,"2021-04-20 15:45:00+00:00"
The Hunger Games,Suzanne Collins,Dystopian Fiction,240000,11000,600,900,"2020-12-31 22:00:00+00:00"
The Alchemist,Paulo Coelho,Inspirational Fiction,220000,10000,400,800,"2020-10-28 17:15:00+00:00"
The Adventures of Tom Sawyer,Mark Twain,Fiction,190000,9000,350,550,"2020-08-14 11:30:00+00:00"
Pride and Prejudice,Jane Austen,Romance,270000,12500,750,1000,"2019-12-24 09:45:00+00:00"
1984,George Orwell,Dystopian Fiction,320000,16000,1200,2500,"2019-09-10 16:00:00+00:00"
The Picture of Dorian Gray,Oscar Wilde,Fiction,180000,8500,300,400,"2019-06-18 12:15:00+00:00"
The Adventures of Sherlock Holmes,Arthur Conan Doyle,Mystery,210000,10000,500,700,"2018-12-20 10:30:00+00:00"
The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,240000,12000,800,1100,"2018-09-01 19:15:00+00:00"
The Three Musketeers,Alexandre Dumas,Adventure,200000,9500,400,600,"2018-06-08 14:00:00+00:00"
The Odyssey,Homer,Classic Literature,290000,14000,900,1500,"2017-12-25 13:00:00+00:00"

